Organization,CityName,Country,Region,C40,ReportingYear,Boundary,GasesIncluded,TotalCityWideEmissions,Comment,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,Population,PopulationYear,CityGDP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​AverageAltitude,​LandArea,CityLocation
"City of Richmond, VA","Richmond, VA",USA,North America,,2017,Administrative boundary of a local government,,,,Decreased,Emissions decreased slightly from 2014 due to a decrease in natural gas usage for most sectors and a decrease in electricity usage in the industrial sector.,220289,2015,74109000000,USD     US Dollar,2015,https://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=40060&7036=-1&7001=2200&7002=2&7090=70&7007=2015&7093=levels (this is metro area and not city specific),15,49,162,"(37.540725, -77.436048)"
Egedal Municipality,Egedal,Denmark,Europe,,2017,Administrative boundary of a local government,,179535,,This is our first year of calculation,,42000,2015,17000000000,DKK     Danish Krone,2015,,8,29,126,"(55.795045, 12.238733)"
City of Durban,Durban,South Africa,Africa,C40,2017,Administrative boundary of a local government,,22154154,,Decreased,Fluctuating data availability,3700000,2016,3300000000,ZAR     South African Rand,2016,,24,426,2555,"(-29.8586804, 31.0218404)"
City of Hayward,Hayward,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1103977,"This inventory, including its methodology and calculations has been reviewed for accuracy. Some records underwent multiple reviews and recalculations. However, please note that for a couple records the most up-to-date and accurate data was not available.",Stayed the same,"Comparing 2010 to 2015, overall community-wide emissions increased slightly (<1%). However, some differing methodology and the unavailability of the most accurate and up to date data influenced this trend.",158985,2016,431704,USD     US Dollar,2015,U.S. Bureau of Economic Analysis (regional data),11.8,32,117,"(37.6689, -122.0808)"
City of Parañaque,Parañaque,Philippines,South Asia and Oceania,,2017,Administrative boundary of a local government,CO2; CH4; N2O,788108,,This is our first year of calculation,,665822,2015,,PHP     Philippine Peso,,,34.4,12,46.6,"(14.479309, 121.019823)"
Jakarta City Government,"Jakarta ",Indonesia,South Asia and Oceania,C40,2017,Administrative boundary of a local government,,27780000,,Decreased,"- Commitment to Reduce the Greenhouse Gas Emissions 

- Jakarta’s commitment to reduce greenhouse gas     emissions, the target to cut emissions by 30% by 2030  will be applied. The greenhouse gas emisions target is based upon the base line of emision in ",10155902,2017,174824110,IDR     Rupiah,2017,Central Statistics Agency (BPS),29,,662,"(-6.1751, 106.865)"
New Taipei City Government,"New Taipei ",Taiwan,East Asia,,2017,Administrative boundary of a local government,,18235086,,Decreased,Saving energy and reducing GHGs emission efficiently.,3970644,2016,529676000000,USD     US Dollar,2016,"Gross Domestic Product by Expenditures, National Statistics, R.O.C (Taiwan) (2016)",21,,2052,"(25.0111, 121.4458)"
Fafe,Fafe,Portugal,Europe,,2017,Administrative boundary of a local government,CO2,163838,The methodology used to calculate GHG emissions of Fafe municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations were are based on relevant socio-economic and energetic information provided by official statistics at municipal level. These results were already approved by Covenant of Mayors initiative.,Decreased,"The municipality of Fafe has been implementing its SEAP achieving very positive results, namely achieving reductions of energy consumptions. Changes in the electricity mix also contributed to the community emissions reduction, allowing to the achievement in 2013 of the commitments for 2020.",49351,2015,517000000,EUR     Euro,2015,Energy baseline emissions. This value was estimated. Official statistics of GDP at the municipal level are not available. The estimation was based on relevant economic and financial information provided by official statistics at municipal and regional level.,14,350,219,"(41.4508217, -8.1728619)"
Vilnius City Municipality,"Vilnius ",Lithuania,Europe,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; N2O; HFCs,1944330,"Tier 1 method as described in Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories (IPCC, 2000) for uncertainty evaluation has been applied. Individual uncertainty levels for emission factors and most other parameters have been applied with reference to either Lithuania’s NIR or IPCC recommendations. Uncertainty of activity levels has been evaluated based on expert judgement and in most cases it coincides with that evaluated in Lithuania’s NIR.The combined uncertainty level of the inventory (12.7 %) is close to that of Lithuania’s NIR (11.5 % excluding LULUCF) and may be considered acceptable. It is recommended to evaluate trend uncertainty with further emission inventories. As Road Transportation category emissions yielded high uncertainty levels it is recommended to address this issue in the future inventories and develop more transparent and comprehensive methodologies for evaluation of activity levels.",Decreased,Increased wooden biomass utilization in Energy sector for the central heating.,542626,2015,,,,,6.7,98,401,"(54.687156, 25.279651)"
City of Austin,Austin,USA,North America,C40,2017,Combination of administrative divisions,,13001831,,Decreased,increased renewable energy in our electricity generation,912791,2016,119949000000,USD     US Dollar,2015,https://www.bea.gov/newsreleases/regional/gdp_metro/gdp_metro_newsrelease.htm,20,149,704,"(30.2672, -97.7431)"
City of Boulder,Boulder,USA,North America,,2017,Administrative boundary of a local government,,1701551,,Decreased,"Emissions have decreased 5.2% since the 2005 baseline and 1.2% since the last inventory, which was conducted in 2012. The most significant emission reductions occurred in commercial and industrial energy use, aviation, and wastewater treatment. Implementation of emissions reduction projects and programs, as well as a cleaner grid mix, contributed to this decrease.",107167,2015,23414000000,USD     US Dollar,2015,"Bureau of Economic Analysis, Dept. of Commerce",10.9,1655,67,"(40.0274, -105.2519)"
City of Los Angeles,Los Angeles,USA,North America,C40,2017,Administrative boundary of a local government,,28922796,,Decreased,"Two primary reasons for the slight reduction are reduction in GHG intensity of electricity system and increased fuel economy of light duty vehicles. From 1990, the decline of manufacturing withing LA city limits also contributed to the decline.",4030904,2016,930817000000,USD     US Dollar,2015,US Dept of Commerce (LA Metro Area),18,95,1215,"(34.0522342, -118.2436849)"
Elsinore Municipality,Elsinore,Denmark,Europe,,2017,Administrative boundary of a local government,CO2; CH4; N2O,294549,The CO2 mapping was conducted externally by a consultancy.,Decreased,#NAME?,61632,2015,1985000000,DKK     Danish Krone,2015,The Ministry of Finance,8.5,8,119,"(56.0308, 12.5921)"
City of Buenos Aires,Buenos Aires,Argentina,Latin America,C40,2017,Administrative boundary of a local government,,13193864,,Increased,The increase is a result of three factors: a) A small increment of the stationary energy emission factor b) a small raise in the amount of GHG emissions related to stationary energy and c) an increase in the amount of GHG emissions related to motorized vehicles.,3059122,2016,107287000,ARS     Argentine Peso,2016,"Treasury Secretariat, Buenos Aires City Government",18,25,202,"(-34.6037232, -58.3815931)"
City of Wroclaw,Wroclaw,Poland,Europe,,2017,Administrative boundary of a local government,,4065219,,Increased,Increased electricity consumption,635759,2015,1789700000000,PLN     Zloty,2015,Central Statistical Office,11,119,283.3,"(51.107885, 17.038538)"
City of Lancaster,Lancaster,USA,North America,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,885210,,Decreased,"Community-wide GHG emissions declined by 107,860 MTCO2e, or 12%, between 2010 and
2015. Emissions from the treatment and delivery of water saw the largest reduction with a 47%
decrease. This reduction is mostly likely a result of more intense drought conditions and water
regulations. The reduced consumption in water also led to a reduction in wastewater with a 35%
decrease. A slowdown in construction growth also lead to a 40% decrease in lawn and garden
and construction sectors (collectively referred to as off-road equipment). Emissions from
transportation decreased 17%. While certain factors, such as increased walkability, may have
contributed to this decrease, no definitive explanation has been established. Commercial and
industrial energy use is the only sector that saw a slight increase of approximately 880 MTCO2e",161000,2015,7600000000,USD     US Dollar,2012,"City of Lancaster Finance Department; U.S. Census Bureau, 2012 Economic Census, 2012 Economic Census of Island Areas, and 2012 Nonemployer Statistics.",16.7,2000,94.5,"(40.0379, -76.3055)"
City of Athens,Athens,Greece,Europe,C40,2017,Administrative boundary of a local government,,5053422,,Decreased,"The small decrease is due: a) to lower grid-supplied electricity consumption by the commercial and industrial sector attributed to the lower economic activities as a result of the country's financial crisis, b) to lower energy use in private transportation as the sales of fuels in the city have significantly decreased due to the rising in gasoline prices which led the citizens to prefer public transportation than using their own private vehicles",664046,2011,19857903168,EUR     Euro,2014,www.statistics.gr,17.5,208,39,"(37.98381, 23.727539)"
"City of Columbia, SC","Columbia, SC",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1848635,,This is our first year of calculation,"This year is the first of our community inventory. Previously, we did City government only.",133358,2015,36358000000,USD     US Dollar,2014,City of Columbia Office of Economic Development,32,292,132,"(34.0007, -81.0348)"
City of Cupertino,Cupertino,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,296048,"Inventory includes a mix of primary and secondary sources as well as estimates based on models or scaling. See Cupertino Climate Action Plan, Chapter 2, pages 33-62 for Community and LGO inventories.",This is our first year of calculation,,60572,2015,7207409711,USD     US Dollar,2015,"Reflects current-dollar GDP for Cupertino, scaled down from metro area GDP of San Jose-Sunnyvale-Santa Clara, CA. Source: U.S. Dept. of Commerce Bureau of Economic Analysis, ""Gross Domestic Product by Metropolitan Area, 2015""",16.1,112,29.3,"(37.322998, -122.032182)"
Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,,2017,A metropolitan area,CO2,1400000,,,,238000,2015,,,,,9.7,56,201.8,"(52.1205, 11.6276)"
Alcaldía Metropolitana de Caracas,Caracas,Venezuela,Latin America,C40,2017,A metropolitan area,CO2; CH4; N2O,17774776,Total solid wastes and waste water was extrapolated from measurements made that were assumed as representative of the whole city population,Increased,"Emissions have increased slightly mainly due to the increase electricity consumption and waste generation due to population growth. Emissions from the transport sector practically have not increased, reflecting the limited increase of the automotive park in 2015.",3518590,2015,54000000000,,2015,Estimated from Venezuelan Central Bank figures,25,950,776,"(10.4696404, -66.8037185)"
Prefeitura de Vitória,Vitória,Brazil,Latin America,,2017,A metropolitan area,,2798291.17,,This is our first year of calculation,Only now it was possible to carry out the inventory from institutional partnerships.,359555,2016,9421016,,2016,SEGES/PMV  & BGE; IJSN (2013).,25,3,98194,"(-20.333764, -40.377582)"
Prefeitura de Betim,Betim,Brazil,Latin America,,2017,Administrative boundary of a local government,,1763018,,Increased,"Comparado ao ano base 2012, as emissões totais aumentaram em 2013, levando-se em conta as mesmas bases de cálculos e fontes de  dados utilizados. No processo de verificação, realizado somente para o ano de 2013, foram identificadas e corrigidas inconsistências. As emissões do setor de energia e transporte apresentaram redução e do setor Resíduos apresentaram aumento, conforme aba comparação do documento anexo à questão C1.9b desta relatoria.",378089,2010,16409537,BRL     Brazilian Real,2013,IBGE,20,860,346,"(-19.967308, -44.20119)"
City of Ann Arbor,Ann Arbor,USA,North America,,2017,A metropolitan area,CO2; CH4; N2O,1420000,Number doesn't include University of Michigan reported emissions,Decreased,Renewable Portfolio Standard for Michigan,117770,2015,17000000000,USD     US Dollar,2012,https://www.brookings.edu/wp-content/uploads/2016/07/annarbor.pdf,10,256,74,"(42.2808, -83.743)"
City of St Louis,St Louis,USA,North America,,2017,Administrative boundary of a local government,,7203267,,Increased,"The City has encouraged and facilitated numerous sustainability initiatives in the past several years, however, growth in economic activity caused increases in the commercial sector since 2013.",319294,2010,149900000000,USD     US Dollar,2014,https://www.stlouis-mo.gov/government/departments/budget/documents/upload/FY15-AOP-Summary-Overview-and-charts-S-1-to-S-82.pdf,13.9,142,170.9,"(38.627, -90.1994)"
Faro,Faro,Portugal,Europe,,2017,Administrative boundary of a local government,CO2,246,"The data was collected in 2014, page 72, frame 21",Decreased,The data was collected in 2014 show that the emissions decreased in scope1 and increased in scope2. But in general the emissions decreased,61019,2015,13231,EUR     Euro,2013,INE(2013) Estudo do poder de compra,17.8,200,203,"(37.019355, -7.93044)"
Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,6787374,,This is our first year of calculation,,2644891,2017,3187000000,USD     US Dollar,2016,"Banco Central del Ecuador, INEC (2010), Municipio de Guayaquil",26,4,5047,"(-2.170998, -79.922359)"
Moroni City,Moroni,Comoros,Africa,,2017,Administrative boundary of a local government,,49285,,This is our first year of calculation,,55541,2016,86740506,USD     US Dollar,2016,"Le PIB, en Millions de dollars US (PPC 2016), est estimé par le capteur de données du total national du cahier de la CIA en fonction de la proportion de la population des Comores qui habitent Moroni (Notes_1). Le chiffre réel est probablement plus élevé, selon le cahier de l'enquête de la CIA, 50% de l'économie concerne l’agriculture et que les activités agricoles sont limitées à Moroni, ce qui est probablement un contributeur majeur à la fraction de 40% (Services) du PIB total (1259 milliards de dollars US ) Étant donné qu'il s'agit de la capitale avec un grand port.",23,19,30,"(-11.717216, 43.247315)"
City of Ærøskøbing,Ærøskøbing,Denmark,Europe,,2017,Administrative boundary of a local government,CO2,185,,Decreased,More renewable energi.,6180,2017,,,,,10,10,88,"(54.891456, 10.404684)"
City of Yokohama,Yokohama,Japan,East Asia,C40,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; NF3,20375000,Almost of the data is calculated by hearing by businesses but some data is calculated by propotional division of statistics,Decreased,Reducing of energy consumption and impronemnt of emission factor by power generation,3731096,2017,12341800000000,JPY     Japanese yen,2014,"The calculation of citizen economy in Yokohama, 2014, (issued in 2016)",16.7,39,435,"(35.4437078, 139.6380256)"
City of Warsaw,Warsaw,Poland,Europe,C40,2017,Administrative boundary of a local government,CO2,11721774,,Decreased,"Reduction of CO2 emission was caused by lower consumption of heat and electricity for buildings which may have been caused by investments in thermal retrofitting of buildings, reduction of energy use due to higher social awareness (due to SEAP educational campaigns) and warmer winter.",1629037,2016,226356000000,PLN     Zloty,2014,Central Statistical Office of Poland,8,103,517,"(52.2296756, 21.0122287)"
"City of Columbia, MO","Columbia, MO",USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,3247578,"Some sections are more accurate than others. Energy is perhaps the most accurate section. The inventory is not yet complete because we are yet to calculate life cycle emissions of materials that pass through the city and upstream consumption activities,",Other:,We are yet to complete our inventory so we cannot say at this point. We hope to complete our inventory by July 2017. The incomplete section is the transportation section for which we are waiting for federal highway statistics data in order to estimate our VMT.,119098,2017,8025000000,USD     US Dollar,2014,Missouri Economy Research and Information Center,12.6,231,163.4,"(38.951705, -92.334072)"
City of New Orleans,New Orleans,USA,North America,C40,2017,Administrative boundary of a local government,,3606199,,Decreased,"We submitted our 2014 baseline inventory last year as we had just completed. However, we subsequently learned more about our electricity mix and realized that our mix was not reflective of the eGrid mix and had much more nuclear and must less natural gas. We adjusted the inventory to reflect the right electricity emissions factor and that is the source of our decreased total inventory.",391495,2017,78478000000,USD     US Dollar,2015,Bureau of Economic Analysis,20.9,-1,468,"(29.9511, -90.0715)"
Santarém,Santarém,Portugal,Europe,,2017,Administrative boundary of a local government,CO2,245886,The methodology used to calculate GHG emissions of Santarém municipality is based in the guidelines of Joint Research Centre of the European Commission for SEAP development and the calculations are based on relevant socio-economic and energetic information provided by official statistics at municipal level.These results were already approved by Covenant of Mayors initiative.,,,61752,2011,,,,,16,108,553,"(39.236669, -8.685994)"
City of Gibraltar,Gibraltar,Gibraltar,Europe,,2017,Administrative boundary of a local government,,263352,,Decreased,"In comparison to the 2013 inventory , the emissions from Gibraltar are largely unchanged for scope 1. As in 2013, the scope 1 emissions are dominated by transport emissions, which have remained fairly constant across the period, demonstrating a 5kt increase. This change is largely due to increases in estimates in private marine fuel consumption after the use of more detailed, disaggregated fuel import data, as described in Section 4.2.1 of the inventory report. IPPU emissions remain a significant source of scope 1 emissions, and have also increased by 1kt in comparison to 2013. Emissions in this sector are estimated using population as a proxy, and therefore population growth within Gibraltar will have somewhat influenced the calculated increase in scope 1 emissions. Improved data has also been used to calculate IPPU emissions in Gibraltar; for example, activity data regarding MDIs and N2O use has been provided by the Gibraltar Health Authority, rather than relying on scaling UK data. 
When scope 2 emissions are considered, there is a 30kt decline in total emissions. A reduction in consumed gas oil used for electricity generation and an apparent improvement of the implied emission factor cause a decline in emissions from residential, and commercial, industrial, and government buildings and facilities. This is largely responsible for this trend.
Waterborne navigation emissions have declined due to a methodology change within the calculation of emissions from shipping. As outlined in Section 4.2.3 of the inventory report, the definition of shipping attributable to Gibraltar on the basis of the recorded ‘purpose of call’ has undergone significant changes, and as a result, the emissions from scope 3 are largely reduced in 2015. 
Because of a large number of method changes, an updated reporting approach using the now-finalised GPC, and data for the 2015 inventory method not being available for updating the 2013 inventory, it is not possible to confidently identify how much change in emissions is due to changing method versus changing activity. Future years will seek to ensure that the time series is revised where possible to allow such comparisons to be made.",33528,2015,1637750000,GIP     Gibraltar pound,2015,https://www.gibraltar.gov.gi/new/sites/default/files/HMGoG_Documents/Abstract%202014.pdf,18,,6.6,"(36.1407734, -5.3535994)"
City of Hvidovre,Hvidovre,Denmark,Europe,,2017,Administrative boundary of a local government,,219396,,This is our first year of calculation,We only account the emissions from the municipal buildings. Here the emissions are decreasing.,52831,2016,18709027233,DKK     Danish Krone,2015,Based on population and national GDP 2014,7.7,10,25,"(55.642522, 12.475386)"
Pingtung County Government,"Pingtung ",Taiwan,East Asia,,2017,Administrative boundary of a local government,,4662549.56,,Increased,"The main increased department are energy, industry, and waste",835792,2016,529700000000,USD     US Dollar,2016,Ministry of Economic Affairs,25,500,2775,"(22.6558, 120.4703)"
City of Hamilton,Hamilton,Canada,North America,,2017,Administrative boundary of a local government,,,,Decreased,Total tonnes of CO2 equivalent has decreased from baseline year of 2006 by approximately 22% and decreased 7% from 2014 inventory year. This can be attributed to Province of Ontario phasing out coal for electricity generation and the unusually cold winters in 2013 and 2014.,550700,2015,22228328,CAD     Canadian Dollar,2014,The Conference Board of Canada – Metropolitan Outlook 1: Winter 2015,8.2,75,1117,"(43.250021, -79.866091)"
City of Philadelphia,Philadelphia,USA,North America,C40,2017,Administrative boundary of a local government,,17355479,,Decreased,"See www.phila.gov/green for Greenworks: A Vision for a Sustainable Philadelphia, which describes progress on carbon reductions to date. Philadelphia will be releasing a citywide energy vision document later in 2017 with more details on the expected trajectory of emissions in the city and strategies for meeting our 80 by 50 commitment.",1555072,2015,411161000000,USD     US Dollar,2015,Bureau of Economic Analysis,13.3,12,367,"(39.952335, -75.163789)"
Municipality of Recife,Recife,Brazil,Latin America,,2017,Administrative boundary of a local government,,2329792,,Decreased,"The reason why the emissions from Recife has decreased was the change on methodology to calculate it. According to that, biofuels aren't considered carbon emitter anymore.",1625583,2016,50688395,BRL     Brazilian Real,2014,IBGE,26,4,218,"(-8.057838, -34.882897)"
Yilan County Government,Yilan County,Taiwan,East Asia,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,8691225,,Stayed the same,,458117,2015,,,,,22.3,20,2143,"(24.730918, 121.763222)"
Bærum Kommune,Bærum,Norway,Europe,,2017,Administrative boundary of a local government,CO2; CH4; N2O,227962,"Statistics Norway is delivering GHG-statistics for Norwegian counties, including Bærum. They are  the main contributer to this inventory. For more information see www.ssb.no/en/klimagassn",Decreased,The total emissions has decreased due to phasing out fossile fuels for heating of buildings.,122660,2016,72600000000,NOK     Norwegian Krone,2016,ssb.no,5.7,15,192,"(59.920545, 10.593765)"
City of Lisbon,Lisbon,Portugal,Europe,,2017,Administrative boundary of a local government,CO2,1934361,Value obtained by energy matrix analisys,Decreased,"The decrease in electricity emissions is related with increase of renewables in the national electricity generation mix. The decrease in diesel and gasoline is related with a correction of national statistics of energy for the period 2009-2012, where this figures were overestimated for Lisbon. The 2013 and 2014 values are now correct. Fuel-oil consumption also decreased by conversion to natural gas. Natural gas consumption increased.",547773,2011,68133192,,2010,http://www.portugalglobal.pt/EN/InvestInPortugal/WhyPortugal/Lisbon/Documents/DatasheetNUTIII_Grande_Lisboa.pdf,18.1,50,85,"(38.7222524, -9.1393366)"
City of Detroit,Detroit,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,10329322,,Stayed the same,This is the only inventory we have done.  The data has not been updated,688701,2013,186000000000,USD     US Dollar,2010,"BEA, BLS, Brookings",9,192,359,"(42.331427, -83.0457538)"
City of Chicago,Chicago,USA,North America,C40,2017,Administrative boundary of a local government,,30955862,,Decreased,"Chicago conducted a preliminary comparison using the existing 2010 and 2015 data to evaluate how community emissions have changed over the last five years. 

Results of this preliminary analysis of 2010 and 2015 GHG emissions reveals Chicago continued to reduce total GHG emissions through 2015 in the stationary and waste sectors resulting in a greater than 7 percent reduction in GHG emissions over the last five years. During that time, Chicago’s population grew by approximately 1 percent while the region’s GRP grew by more than 12 percent. Growth coupled with reduction in total emissions resulted in a greater than 8 percent decrease in per capita emissions in the City.

Between 2010 and 2015, the majority of MT CO2e reductions occurred in the stationary energy sector, followed by waste. When considering percent reductions, the waste sector experienced the greatest reduction (30 percent) which included a 35 percent emissions reduction in the solid waste disposal sub-sector. This reduction in the solid waste sector is likely driven by a decrease in the total amount of solid waste sent to landfills and an improvement in the solid waste treatment technologies at those landfills. The City expanded its residential curbside recycling pilot program to now serve over 400,000, or approximately 33 percent, of additional City houeholds.Because of the program’s expansion the City experienced a significant increase in the number of tons collected for recycling, from 58,000 in 2010 to 97,000 in 2015.

The stationary energy sector overall saw a 10 percent drop in emissions, including 11, 12 and 8 percent emissions reductions in the residential, commercial and institutional buildings and facilities, and manufacturing industries and construction sub-sectors, respectively. Stationary energy sector GHG emissions reductions are likely driven by a general trend in the building industry to improve energy efficiency of buildings as well as a regional shift in energy generation towards renewable energy sources. The City has also implemented the Energy Benchmarking Ordinance, Retrofit Chicago, and the Chicago Solar Express to encourage increasing energy efficiency and renewable energy generation and consumption within the city.",2720546,2015,563188000000,,2014,Brookings Institution,9.4,181,606,"(41.8781136, -87.6297982)"
City of Johannesburg,Johannesburg,South Africa,Africa,C40,2017,Administrative boundary of a local government,,24716713,,Decreased,"This decrease could be attributed to a number of reasons, for example there seems to be a correlation between it and the drop in electricity consumption. This drop in electricity consumption is mirrored in all the major municipalities in South Africa. There may well be data deficiency
artefacts. The real reasons for this decrease and/or other trend that becomes apparent,will become clear as we become more thorough in quality data collection methods. Furthermore, to enhance our understand we will do bottom up data collection at a project level.",4900000,2016,337000000000,USD     US Dollar,2015,http://www.bsivjoburg.co.za/bsivjoburg/index.cfm/economic-overview/joburg-economic-overview/,20,1645,1645,"(-26.2041028, 28.0473051)"
City of Ottawa,Ottawa,Canada,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,5420000,"At the time, the City could not obtain data from the local utilities for the building sector, i.e. residential, commercial, and institutional buildings.  As a result, staff used provincial data and prorated it to a local level to determine emissions from the building sector.  To ensure greater accuracy for the next inventory, staff will work to obtain data from the local utilities.",Decreased,"The City undertakes a community inventory every 4 years, and so far have completed inventories for the years 2004, 2008, and 2012.  Starting in 2007, the province of Ontario began phasing out all coal facilities across the province, with the last coal plant closing in 2014.  This initiative was considerable in making a cleaner electrical grid, and reduce the electricity intensity factor from 170 gCO2/kWh to 97 gCO2/kWh.  As such, there was a considerable decrease in emissions in the building sector solely due to this initiative.",934243,2016,,CAD     Canadian Dollar,,,6,70,2796,"(45.42153, -75.697193)"
City of Oslo,Oslo,Norway,Europe,C40,2017,Administrative boundary of a local government,CO2; CH4; N2O,1233,"Emission factors: The emission factors are updated, but some are national, not local. Level of confidence: High/mediumActivity data: Based on fuel sales, traffic counts and some top-down anlyses, like waste water handling. Level of confidence: Medium/highAverage score: medium/high",Decreased,"The main reason for decreased GHG-emissions is that emissions from stationary energy use in residential, commercial and institutional buildings have been significantly reduced. The success is partly due to national and local support schemes to convert from fossil heating oil to renewables and also adaptions to a warned ban on fossil heating oil.",658390,2016,458449000000,NOK     Norwegian Krone,2013,Statistics Norway,5.7,94,454,"(59.9138688, 10.7522454)"
City of Durham,Durham,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,4681117,The data on transportation is the area in which I have the least confidence.,Increased,"scope 1 increased due to a large, unexplained jump in diesel VMT. This may be due to a change in the model. Scope 2 emissions actually decreased, but it was mostly due to cleaner energy production rather than reduction in energy use.",250815,2015,,,,,15,,277,"(35.994, -78.8986)"
Alcaldía de Ibagué,Ibagué,Colombia,Latin America,,2017,Administrative boundary of a local government,,2330487,,Increased,En comparación al informe del año 2011 se evidencia un aumento en las emisiones de GEI,564077,2017,4,COP     Colombian Peso,2012,DANE,31,1170,1439,"(4.448517, -75.239965)"
"Town of Ajax, ON","Ajax, ON",Canada,North America,,2017,Administrative boundary of a local government,CO2,1234211,"Currently being updated to 2015, plan for 2013 can also be found here: https://www.ajax.ca/en/livinginajax/community-sustainability-plan.asp",Increased,Emission increase can be attributed to population increase of 22% increase from 2006 to 2011,109600,2011,,CAD     Canadian Dollar,,,7.8,90,67.1,"(43.850855, -79.020373)"
Comune di Torino,Torino,Italy,Europe,,2017,"Other: Our  emission inventory takes in account the City of Turin  and its boundary, following the instruction of the JRC methodology (""How to develope a sustainable energy action plan"") setted up for the Covenant of Mayors initiative.",CO2,3496156,The data provided refers to the inventory of emissions for 2014.,Decreased,"Last updated in 2014. 
Since the last inventory performed a reduction of 22% in CO2 emissions compared to the base year (1991).",892276,2015,26933203382,,2013,http://www.centroestero.org/FTP/opploc/TorinoUrbanProfile2013.pdf,14,239,130,"(45.1006374, 7.6680046)"
Stadt Zürich,Zürich,Switzerland,Europe,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,1822367,2000-Watt society Methodology,Other: No change,"The course of greenhouse gas emissions since 2008 is more or less constant. We assume that the positive effects of modernizing insulation of buildings are mostly compensated  by increased demands for comfort (e.g. higher room temperatures, larger living spaces, longer heating periods).",415682,2016,69037000000,CHF     Swiss Franc,2015,www.stadt-zuerich.ch/statistik,8.8,408,92,"(47.3686498, 8.5391825)"
City of Denver,Denver,USA,North America,,2017,Administrative boundary of a local government,,943176,,Stayed the same,"This is our first year conducting a GHG inventory with the GPC protocol.  Using the same method as previous years, our emissions stayed about the same due to and Emissions Factor in electricity that stayed roughly the same.",682545,2015,193972000000,USD     US Dollar,2015,BEA Denver Metro Area,10.1,1609,401,"(39.737567, -104.9847179)"
Communauté urbaine du Grand Nancy,Nancy,France,Europe,,2017,A metropolitan area,CO2; PFCs; CH4; SF6; N2O; HFCs,2150000,,,,265000,2014,,EUR     Euro,2015,,10.5,212,142.3,"(48.692054, 6.184417)"
"City of Miami Beach, FL","Miami Beach, FL",USA,North America,,2017,Administrative boundary of a local government,,1207364,,This is our first year of calculation,,91732,2014,8475831683,USD     US Dollar,2014,"Department of Tourism, Culture, and Economic Development",23.9,,18.1,"_
(25.790654, -80.130045)"
Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,,2017,Administrative boundary of a local government,CO2; PFCs; CH4; SF6; N2O; HFCs,1113971,,Other: not rated yet,"There is only an elaborate inventory, so we can not compare emissions",652481,2016,32600000000,BRL     Brazilian Real,2014,IBGE,20.8,601,450,"(-23.4774899, -47.4220615)"
City of Oakland,Oakland,USA,North America,,2017,Administrative boundary of a local government,CO2; CH4; N2O,1745827,"Energy data is high confidence, Transportation data is partially simulated (medium) partially fuel consumption (high), and materials use is medium-high (waste composition data is thorough but not collected frequently enough)",Decreased,"In comparison to the 2015 report, emissions have decreased in both Scope 1 and Scope 2 emissions.",419000,2015,431704000000,USD     US Dollar,2015,US Bureau of Economic Analysis San Francisco-Oakland-Hayward Metropolitan area,15.1,13,144,"(37.8044, -122.2708)"
Municipalidad de  Córdoba,Córdoba,Argentina,Latin America,,2017,Administrative boundary of a local government,,5099175,,,,1560900,2015,12302882987,ARS     Argentine Peso,2016,"DIRECCIÓN GENERAL DE ESTADÍSTICAS Y CENSOS, GOBINERNO DE LA PROVINCIA DE CÓRDOBA",17.7,390,576,"(-31.4201, -64.1888)"
Torres Vedras Municipality,"Torres Vedras ",Portugal,Europe,,2017,Administrative boundary of a local government,CO2,275646,,Decreased,"The city has done a emission inventory in 2009 and another in 2014, the results indicate that the emissions has decreased (the changes are due to emissions redution actions  foreseen in sustainable energy action plan and to the national economic crises).",79465,2011,,,,,15,75,407,"(38.763669, -9.30148)"
