Organisation,CountryName,CityName,C40,ReportingYear,Sector,TargetBoundary,BaselineYear,BaselineEmissions,PercentageReductionTarget,TargetDate,Comment,CityLocation,Country,CityName.1,MeasurementYear,Boundary,PrimaryMethodology,MethodologyDetails,GasesIncluded,TotalCityWideEmissions,IncreaseDecreaseLastYear,ReasonForIncreaseDecrease,PopulationYear,CurrentPopulation,CityGPP,GDPCurrency,GDPYear,GDPSource,AverageAnnualTemperature,​LandArea,AverageAltitude,Organization,Region,Population,CityGDP,​AverageAltitude,Access,TypeOfTarget,Target date,EstimatedBAUAbsoluteEmissions,​IntensityUnit,Questionnaire,AssessmentAttachmentOrDirectLink,BoundaryAssessment,YearOfPublicationOrApproval,FactorsConsidered,PrimaryAuthors,AdaptionGoalOrPlan,LastUpdate
,,,False,,,,,,,,,,South Africa,,,,,,,,,,2023.0,471495.0,,,,,,,,Umhlathuze,Africa,,,,,,,,,Cities 2023,Climate Change Vulnerability Assessment.pdf,Same - covers entire jurisdiction and nothing else,2009.0,"A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Consultant; Dedicated team within jurisdiction,Adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Australia,,,,,,,,,,2022.0,98177.0,,,,,,,,Tweed Shire Council,Oceania,,,,,,,,,Cities 2023,https://www.tweed.nsw.gov.au/files/assets/public/documents/environment/climate-amp-sustainability/2023-tsc-climate-change-risk-assessment.pdf,Same - covers entire jurisdiction and nothing else,2023.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Identified hazards have been incorporated into the jurisdictions overall risk management framework",Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Milwaukee,False,,,,,,,,,POINT (-87.9065 43.0389),United States of America,,,,,,,,,,2021.0,569330.0,,,,,,,,"City of Milwaukee, WI",United States of America,,,,,,,,,Cities 2023,https://city.milwaukee.gov/ImageLibrary/Groups/cityGreenTeam/documents/MilwaukeeClimateVulnerability-compressed.pdf,Same - covers entire jurisdiction and nothing else,2021.0,Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Apuí,False,,,,,,,,,POINT (-69.14 1.22),Brazil,,,,,,,,,,2022.0,20647.0,,,,,,,,Prefeitura de Apuí,Latin America,,,,,,,,,Cities 2023,https://sistema.adaptabrasil.mcti.gov.br/,Same - covers entire jurisdiction and nothing else,2020.0,"Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5)",Question not applicable,Adaptation goal(s),02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United States of America,,,,,,,,,,2020.0,84148.0,,,,,,,,"Chemung County, NY",United States of America,,,,,,,,,Cities 2023,PE7 Vulnerability- HAZARD MITIGATION PLAN REVISED (002).pdf,,,,,Incomplete report,02/07/2024 04:14:16 AM
,,Norwich,False,,,,,,,,,POINT (1.2974 52.6309),United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,2022.0,144000.0,,,,,,,,Norwich City Council,Europe,,,,,,,,,Cities 2023,This is an internal risk assessment which covers other council operations and so I am unable to share publicly at the moment.,Same - covers entire jurisdiction and nothing else,2023.0,"Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework; Other, please specify: Energy, transport, housing, biodiversity - focus is specifically on vulnerable groups and communities.",Question not applicable,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Amsterdam,True,,,,,,,,,POINT (4.89516 52.3702),Netherlands,,,,,,,,,,2022.0,881933.0,,,,,,,,Municipality of Amsterdam,Europe,,,,,,,,,Cities 2023,https://experience.arcgis.com/experience/aec3fc23a4134a3da32c7cb2cf3b66da,Same - covers entire jurisdiction and nothing else,2020.0,"A process has been established to update the assessment at least every five years; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners",Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government; Relevant department within jurisdiction,Incomplete report,02/07/2024 04:14:16 AM
,,Yokohama,True,,,,,,,,,POINT (139.638 35.4437),Japan,,,,,,,,,,2022.0,3773214.0,,,,,,,,City of Yokohama,East Asia,,,,,,,,,Cities 2023,https://www.city.yokohama.lg.jp/kurashi/machizukuri-kankyo/ondanka/jikkou/joureihoukoku.files/0001_20220920.pdf,Same - covers entire jurisdiction and nothing else,2022.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Cape Town,True,,,,,,,,,POINT (18.4239 -33.9253),South Africa,,,,,,,,,,2021.0,4678900.0,,,,,,,,City of Cape Town,Africa,,,,,,,,,Cities 2023,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwiLoIWj2cT_AhXTjVwKHW3aDEwQFnoECCMQAQ&url= https%3A%2F%2Fwww.ipcc.ch%2Fapps%2Fnjlite%2Far5wg2%2Fnjlite_download2.php%3Fid%3D8350&usg=AOvVaw07EbzcB0oQbwLqiLIj4y6s,Same - covers entire jurisdiction and nothing else,2009.0,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Santiago,False,,,,,,,,,,Chile,,,,,,,,,,2023.0,129790.0,,,,,,,,Lo Barnechea,Latin America,,,,,,,,,Cities 2023,"DEC_DAL_123181_1276__30-11-2022__.pdf, ESTRATEGIA MITIGACIÓN Y ADAPTACIÓN AL CC - MLB.pdf",Same - covers entire jurisdiction and nothing else,2022.0,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Frederikshavn,False,,,,,,,,,POINT (10.521 57.4427),Denmark,,,,,,,,,,2023.0,59234.0,,,,,,,,Frederikshavn Municipality,Europe,,,,,,,,,Cities 2023,http://energibyen.dk/sites/default/files/miljoeberedskabsplan_-_godkendt_pmu_16-08-2016.pdf,Same - covers entire jurisdiction and nothing else,2022.0,"Other, please specify: Assessment considers risk analyzes of cultral values, vulnerable citizens, floods, rise in groundwater, coastal protection and drought",Dedicated team within jurisdiction,Adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Colombia,,,,,,,,,,2019.0,243609.0,,,,,,,,Envigado,Latin America,,,,,,,,,Cities 2023,"Analisis-riesgo-vulneralidad-Envigado.pdf, Anexo2_Análisis de vulnerabilidad y riesgo IDEAM_2017.xlsx",Same - covers entire jurisdiction and nothing else,2018.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Dubuque,False,,,,,,,,,POINT (-90.5071 42.5006),United States of America,,,,,,,,,,2022.0,58873.0,,,,,,,,"City of Dubuque, IA",United States of America,,,,,,,,,Cities 2023,https://www.cityofdubuque.org/DocumentCenter/View/49034/Climate-Vulnerability-Assessment-2019,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: All studies done are to the scope of the cities boundaries or compared to the state or surrounding states.",2019.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Tel Aviv-Yafo,True,,,,,,,,,POINT (34.7823 32.0816),Israel,,,,,,,,,,2022.0,467880.0,,,,,,,,Tel Aviv-Yafo Municipality,Middle East,,,,,,,,,Cities 2023,https://ims.gov.il/sites/default/files/inline-files/%D7%93%D7%95%D7%97%20%D7%A8%D7%A9%D7%95%D7%AA%20%D7%94%D7%9E%D7%99%D7%9D%20%D7%9E%D7%A8%D7%A5%202021.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The",2021.0,,National/ central government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Boston,True,,,,,,,,,POINT (-71.0598 42.3584),United States of America,,,,,,,,,,2022.0,650706.0,,,,,,,,"City of Boston, MA",United States of America,,,,,,,,,Cities 2023,https://www.boston.gov/departments/environment/climate-ready-boston,Same - covers entire jurisdiction and nothing else,2016.0,"Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5)","Consultant; Other, please specify: Nonprofit partner; Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,POINT (10.5519 58.9963),Norway,,,,,,,,,,2023.0,27433.0,,,,,,,,Færder Municipality,Europe,,,,,,,,,Cities 2023,,"Smaller - covers only part of the jurisdiction, please explain exclusions: Covers only water and wastewater management infrastructure",2022.0,Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Takoma Park,False,,,,,,,,,POINT (-77.0075 38.9779),United States of America,,,,,,,,,,2020.0,17703.0,,,,,,,,"City of Takoma Park, MD",United States of America,,,,,,,,,Cities 2023,https://www.montgomerycountymd.gov/OEMHS/Resources/Files/HMP2018-FinalPlan-FEMAApproved.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Montgomery County Maryland",2018.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Tel Aviv-Yafo,True,,,,,,,,,POINT (34.7823 32.0816),Israel,,,,,,,,,,2022.0,467880.0,,,,,,,,Tel Aviv-Yafo Municipality,Middle East,,,,,,,,,Cities 2023,https://www.tel-aviv.gov.il/Lists/digitalPostList/Attachments/10179/%D7%AA%D7%9B%D7%A0%D7%99%D7%AA%20%D7%A4%D7%A2%D7%95%D7%9C%D7%94%20-%20%D7%94%D7%99%D7%A2%D7%A8%D7%9B%D7%95%D7%AA%20%D7%A2%D7%99%D7%A8%D7%95%D7%A0%D7%99%D7%AA%20%D7%9C%D7%A9%D7%99%D7%A0%D7%95%D7%99%D7%99%20%D7%90%D7%A7%D7%9C%D7%99%D7%9D%202020.pdf,Same - covers entire jurisdiction and nothing else,2020.0,A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Grand Rapids,False,,,,,,,,,,United States of America,,,,,,,,,,2020.0,199417.0,,,,,,,,"City of Grand Rapids, MI",United States of America,,,,,,,,,Cities 2023,https://www.accesskent.com/Sheriff/pdfs/GGRHazMitPlan_2022.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Cover City of GR, Kent and Ottawa Counties",2022.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction; Regional/ state/ provincial government,Adaptation goal(s),02/07/2024 04:14:16 AM
,,,False,,,,,,,,,POINT (174.354 -39.1011),New Zealand,,,,,,,,,,2023.0,8770.0,,,,,,,,New Plymouth District Council,Oceania,,,,,,,,,Cities 2023,CDEMGroupPlan2018-23-web2.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Civil Defence Emergency Management Plan for our region (Taranaki)",2018.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Regional/ state/ provincial government,Incomplete report,02/07/2024 04:14:16 AM
,,Basel,False,,,,,,,,,POINT (7.5928 47.5619),Switzerland,,,,,,,,,,2022.0,204550.0,,,,,,,,City of Basel,Europe,,,,,,,,,Cities 2023,"Bericht-Anpassung-an-den-Klimawandel-im-Kanton-Basel-Stadt-2021 (6).pdf, Energiestatistik (3).pdf",Same - covers entire jurisdiction and nothing else,2021.0,"A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Other, please specify: Increasing heat stress, Increasing summer drought, Increasing flood risk, Change in storm and hail activity, Impairment of water, soil and air quality, Unexpected events and combined risks.",Regional/ state/ provincial government,Adaptation goal(s),02/07/2024 04:14:16 AM
,,Stockholm,True,,,,,,,,,POINT (18.0686 59.3293),Sweden,,,,,,,,,,2022.0,984748.0,,,,,,,,City of Stockholm,Europe,,,,,,,,,Cities 2023,https://www.lansstyrelsen.se/stockholm/om-oss/vara-tjanster/publikationer/2011/stockholm---varmare-blotare.-------klimat--och-sarbarhetsanalys-for-stockholms-lan.html,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: It covers the Stockholm County where the municipality of Stockholm is one of several municipalities",2011.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security,National/ central government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Tirana,False,,,,,,,,,POINT (19.8187 41.3275),Albania,,,,,,,,,,2020.0,850530.0,,,,,,,,Municipality of Tirana,Europe,,,,,,,,,Cities 2023,https://www.giz.de/en/downloads/Report%20%E2%80%93%20Vulnerability%20Assessment%20and%20Adaptation%20Action%20Plan%20for%20Tirana%20Albania%20(2015).pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: The study was developed before the new territorial reform, covering only the metropolitan boundary of Tirana, without the new rural Administrative Units.",2015.0,A process has been established for prioritizing identified hazards; Identified hazards have been incorporated into the jurisdictions overall risk management framework,International organization,Adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Indonesia,,,,,,,,,,2022.0,239850.0,,,,,,,,City of Tanjungpinang,Southeast Asia,,,,,,,,,Cities 2023,Percentage of emissions reduction (including offsets and carbon dioxide removal),Same - covers entire jurisdiction and nothing else,2022.0,Assessment considers vulnerable populations,Consultant; Dedicated team within jurisdiction; National/ central government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Águeda,False,,,,,,,,,POINT (-8.44582 40.5753),Portugal,,,,,,,,,,2021.0,46131.0,,,,,,,,Municipality of Águeda,Europe,,,,,,,,,Cities 2023,"O_Compromisso_de_Agueda.pdf, Pacote_clima-energia_da_EU_-_apoio_ao_cidad_o.pdf, Pacto_Autarcas_Compromisso.pdf, PAES.pdf","Larger - covers the whole jurisdiction and adjoining areas, please explain additions: A base de estudo extravasa a área da cidade propriamente dita, abrange pela natureza dos estudos e medidas efetuados a região em que o município se encontra localizado. Assim sendo, vai além do que é considerado espaço urbano , ou ""a cidade"".",2009.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United States of America,,,,,,,,,,2021.0,2662777.0,,,,,,,,"Miami-Dade, FL",United States of America,,,,,,,,,Cities 2023,/https://miami-dade-county-sea-level-rise-strategy-draft-mdc.hub.arcgis.com,Same - covers entire jurisdiction and nothing else,2018.0,"A process has been established for prioritizing identified hazards; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant; Dedicated team within jurisdiction; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Niterói,False,,,,,,,,,POINT (-43.1184 -22.8928),Brazil,,,,,,,,,,2020.0,515317.0,,,,,,,,Prefeitura de Niterói,Latin America,,,,,,,,,Cities 2023,"Anexo 2530522_Biquinha.pdf, Anexo 2530522_DonaZinha.pdf, Anexo 2530522_Igrejinha.pdf, Anexo 2530522_JardimAlvorada.pdf, Anexo 2530522_Marinheiro.pdf, Anexo 2530522_SemTerra.pdf, Anexo 2530522_TrezentosEQuarenta.pdf","Smaller - covers only part of the jurisdiction, please explain exclusions: O estudo de avaliação de risco a movimento gravitacionais de massa encontra-se em fase de contratação. A carta se refere a áreas pontuais elencadas a partir do inventário de ocorrências da SMDCG e projetos para regularização fundiária.",2022.0,Assessment considers vulnerable populations,Dedicated team within jurisdiction,Incomplete report,02/07/2024 04:14:16 AM
,,Laholm,False,,,,,,,,,POINT (13.03 56.51),Sweden,,,,,,,,,,2022.0,26575.0,,,,,,,,Laholm Municipality,Europe,,,,,,,,,Cities 2023,Klimatanpassningsplan - antagandehandling.pdf,"Smaller - covers only part of the jurisdiction, please explain exclusions: No explanation found",2015.0,Assessment considers nature; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Question not applicable,Adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United States of America,,,,,,,,,,2020.0,5690020.0,,,,,,,,Metropolitan Washington Council of Governments,United States of America,,,,,,,,,Cities 2023,"FINAL_MWCOG CRVA Summary and Gap Analysis.xlsx, Metropolitan Washington 2030 Climate and Energy Action Plan_FINAL.pdf",Same - covers entire jurisdiction and nothing else,2020.0,"Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Assessment includes consultation with partners; Assessment includes sectors and/or urban systems",Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Piura,False,,,,,,,,,,Peru,,,,,,,,,,2017.0,158495.0,,,,,,,,Municipalidad  Provincial de Piura,Latin America,,,,,,,,,Cities 2023,,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions",,Assessment considers vulnerable populations,Regional/ state/ provincial government,Adaptation goal(s),02/07/2024 04:14:16 AM
,,New Bedford,False,,,,,,,,,POINT (-70.9342 41.6362),United States of America,,,,,,,,,,2020.0,101079.0,,,,,,,,"City of New Bedford, MA",United States of America,,,,,,,,,Cities 2023,https://s3.amazonaws.com/newbedford-ma/wp-content/uploads/sites/39/20200812074934/New-Bedford-Harbor_Resilient_Design_Guidlines.pdf,"Partial - covers part of the jurisdiction and adjoining areas, please explain exclusions/additions: This document covers the entire shoreline of New Bedford Harbor",2020.0,Assessment considers nature; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,São Leopoldo,False,,,,,,,,,POINT (-51.1493 -29.761),Brazil,,,,,,,,,,2021.0,240378.0,,,,,,,,Prefeitura de São Leopoldo,Latin America,,,,,,,,,Cities 2023,Análise de risco e vulnerabilidade climática.pdf,Same - covers entire jurisdiction and nothing else,2023.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Other, please specify: Observatório Mudanças Climáticas de São Leopoldo; Regional/ state/ provincial government; Relevant department within jurisdiction",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Nottingham,False,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,2021.0,319566.0,,,,,,,,Nottingham City Council,Europe,,,,,,,,,Cities 2023,CN28 Risk Register Q3 22_23 Update_redacted.pdf,Same - covers entire jurisdiction and nothing else,2021.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Dedicated team within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Rio de Janeiro,True,,,,,,,,,POINT (-43.5614 -22.9054),Brazil,,,,,,,,,,2022.0,6211423.0,,,,,,,,Prefeitura do Rio de Janeiro,Latin America,,,,,,,,,Cities 2023,ESTRATEGIA_ENG.pdf,Same - covers entire jurisdiction and nothing else,2016.0,Assessment considers nature; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Sweden,,,,,,,,,,2022.0,85460.0,,,,,,,,Järfälla Municipality,Europe,,,,,,,,,Cities 2023,https://www.diva-portal.org/smash/get/diva2:1549425/FULLTEXT01.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: The report covers the development of climate change in the Stockholm region and Sweden.",2017.0,Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes sectors and/or urban systems,Question not applicable,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Quezon City,True,,,,,,,,,POINT (120.862 15.6835),Philippines,,,,,,,,,,2020.0,2960048.0,,,,,,,,The Local Government of Quezon City,Southeast Asia,,,,,,,,,Cities 2023,Copy of QC_Risk_Atlas.pdf,Same - covers entire jurisdiction and nothing else,2013.0,A process has been established for prioritizing identified hazards; Assessment considers vulnerable populations; Identified hazards have been incorporated into the jurisdictions overall risk management framework,"Dedicated team within jurisdiction; Other, please specify: Earthquakes and Megacities Initiative (EMI)",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Milano,True,,,,,,,,,POINT (9.08635 45.8026),Italy,,,,,,,,,,2022.0,1396673.0,,,,,,,,City of Milan,Europe,,,,,,,,,Cities 2023,https://www.pgt.comune.milano.it/componenti-geologica-idrogeologica-e-sismica,Same - covers entire jurisdiction and nothing else,2019.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; Regional/ state/ provincial government; Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,Malaysia,,,,,,,,,,2020.0,686966.0,,,,,,,,Shah Alam City Council,Southeast Asia,,,,,,,,,Cities 2023,"69091_disasterriskreportselangorfinal19mb.pdf, Malaysia-2019-v2.4.1-web-compressed.pdf, Training-of-Trainers-Guidebook-English.pdf","Larger - covers the whole jurisdiction and adjoining areas, please explain additions",2020.0,A process has been established for prioritizing identified hazards; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Consultant; International organization; National/ central government; Regional/ state/ provincial government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Dakar,False,,,,,,,,,POINT (-17.3997 14.7529),Senegal,,,,,,,,,,2013.0,1170789.0,,,,,,,,Pikine,Africa,,,,,,,,,Cities 2023,Rapport final Evaluations des Risques et Vunérabilités (ERV) _ Ville de Pikine.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: l'étude couvre une partie adjacente correspondant au  nouveau département de Keur Massar. La principale raison est que le département dekeur masser faisant partie intégrante de la Ville de Pikine au moment de l'évaluation de la vulnérabilité",2020.0,Assessment considers vulnerable populations; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems,Community group; Consultant; Dedicated team within jurisdiction; National/ central government,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Firenze,False,,,,,,,,,POINT (11.2558 43.7696),Italy,,,,,,,,,,2022.0,366079.0,,,,,,,,City of Florence,Europe,,,,,,,,,Cities 2023,http://pianostrutturale.comune.fi.it,Same - covers entire jurisdiction and nothing else,2010.0,A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers transition risks; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes consultation with partners; Assessment includes sectors and/or urban systems; Identified hazards have been incorporated into the jurisdictions overall risk management framework,Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,,False,,,,,,,,,,United Kingdom of Great Britain and Northern Ireland,,,,,,,,,,2021.0,1503300.0,,,,,,,,Essex County Council,Europe,,,,,,,,,Cities 2023,DS21_7178 ECAC_Commission_Report-Final.pdf,"Larger - covers the whole jurisdiction and adjoining areas, please explain additions: Includes Thurrock and Southend-on-Sea Councils too.",2021.0,Assessment considers nature; Assessment considers water security; Assessment includes consultation with partners,"Other, please specify: Essex Climate Action Commission",Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Los Angeles,True,,,,,,,,,POINT (-118.244 34.0522),United States of America,,,,,,,,,,2023.0,3766109.0,,,,,,,,"City of Los Angeles, CA",United States of America,,,,,,,,,Cities 2023,2018_LA_HMP_Final_2018-11-30.pdf,Same - covers entire jurisdiction and nothing else,2018.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Consultant,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
,,Hoeje-Taastrup,False,,,,,,,,,POINT (12.2898 55.6563),Denmark,,,,,,,,,,2022.0,53053.0,,,,,,,,Høje-Taastrup Municipality,Europe,,,,,,,,,Cities 2023,Kommende lukning af Taastrup Valby Kildeplads.pdf,Same - covers entire jurisdiction and nothing else,2020.0,Assessment considers nature,"Consultant; Other, please specify: municipal environmental center",Adaptation goal(s),02/07/2024 04:14:16 AM
,,Arendal,False,,,,,,,,,POINT (8.77245 58.4618),Norway,,,,,,,,,,2022.0,45570.0,,,,,,,,Arendal Municipality,Europe,,,,,,,,,Cities 2023,"2022.06.23 ROS 2017 Arendal Kommune.pdf, ROS-2017 Vedlegg 1 Enkeltanalyser.PDF, RoS-2017 Vedlegg 2 Sektoranalyse vann og avløp.PDF, ROS-2017 Vedlegg 3 Store arrangementer.PDF",Same - covers entire jurisdiction and nothing else,2018.0,"A process has been established for prioritizing identified hazards; A process has been established to update the assessment at least every five years; Assessment considers nature; Assessment considers vulnerable populations; Assessment considers water security; Assessment includes a high-emissions scenario (i.e., RCP 8.5); Identified hazards have been incorporated into the jurisdictions overall risk management framework",Relevant department within jurisdiction,Adaptation goal(s) and adaptation plan,02/07/2024 04:14:16 AM
